config_id,direction,family,contrast,effect
426:query_sentence:head:513:KV,noise,0,KV_minus_K_minus_V,-0.009674072265625
426:query_sentence:head:513:KV,noise,16,KV_minus_K_minus_V,-0.008453369140625
426:query_sentence:head:513:KV,noise,32,KV_minus_K_minus_V,0.00994873046875
426:query_sentence:head:513:KV,noise,48,KV_minus_K_minus_V,-0.0282135009765625
426:query_sentence:head:513:KV,noise,56,KV_minus_K_minus_V,-0.0018768310546875
426:query_sentence:head:513:KV,noise,64,KV_minus_K_minus_V,-0.013916015625
426:query_sentence:head:513:KV,noise,82,KV_minus_K_minus_V,0.0072021484375
426:query_sentence:head:513:KV,noise,96,KV_minus_K_minus_V,0.01151275634765625
426:query_sentence:head:513:KV,noise,98,KV_minus_K_minus_V,-0.0084228515625
426:query_sentence:head:513:KV,noise,102,KV_minus_K_minus_V,-0.0009613037109375
426:query_sentence:head:513:KV,noise,116,KV_minus_K_minus_V,-0.00421142578125
426:query_sentence:head:513:KV,noise,130,KV_minus_K_minus_V,-0.00262451171875
426:query_sentence:head:513:KV,noise,150,KV_minus_K_minus_V,-0.0218353271484375
426:query_sentence:head:513:KV,noise,154,KV_minus_K_minus_V,-0.00994873046875
426:query_sentence:head:513:KV,noise,162,KV_minus_K_minus_V,-0.009765625
426:query_sentence:head:513:KV,noise,176,KV_minus_K_minus_V,-0.0130615234375
426:query_sentence:head:513:KV,noise,178,KV_minus_K_minus_V,-0.06661224365234375
426:query_sentence:head:513:KV,noise,186,KV_minus_K_minus_V,-0.0185546875
426:query_sentence:head:513:KV,noise,192,KV_minus_K_minus_V,-0.0093994140625
426:query_sentence:head:513:KV,noise,196,KV_minus_K_minus_V,-0.00341796875
426:query_sentence:head:547:KV,noise,0,KV_minus_K_minus_V,0.031524658203125
426:query_sentence:head:547:KV,noise,16,KV_minus_K_minus_V,0.010101318359375
426:query_sentence:head:547:KV,noise,32,KV_minus_K_minus_V,-0.0060272216796875
426:query_sentence:head:547:KV,noise,48,KV_minus_K_minus_V,0.09944915771484375
426:query_sentence:head:547:KV,noise,56,KV_minus_K_minus_V,0.00567626953125
426:query_sentence:head:547:KV,noise,64,KV_minus_K_minus_V,0.01434326171875
426:query_sentence:head:547:KV,noise,82,KV_minus_K_minus_V,0.006591796875
426:query_sentence:head:547:KV,noise,96,KV_minus_K_minus_V,0.04285430908203125
426:query_sentence:head:547:KV,noise,98,KV_minus_K_minus_V,0.07904052734375
426:query_sentence:head:547:KV,noise,102,KV_minus_K_minus_V,0.034694671630859375
426:query_sentence:head:547:KV,noise,116,KV_minus_K_minus_V,0.07757568359375
426:query_sentence:head:547:KV,noise,130,KV_minus_K_minus_V,0.0182647705078125
426:query_sentence:head:547:KV,noise,150,KV_minus_K_minus_V,0.01177978515625
426:query_sentence:head:547:KV,noise,154,KV_minus_K_minus_V,0.0853271484375
426:query_sentence:head:547:KV,noise,162,KV_minus_K_minus_V,0.021728515625
426:query_sentence:head:547:KV,noise,176,KV_minus_K_minus_V,0.03564453125
426:query_sentence:head:547:KV,noise,178,KV_minus_K_minus_V,0.11349868774414062
426:query_sentence:head:547:KV,noise,186,KV_minus_K_minus_V,0.06365966796875
426:query_sentence:head:547:KV,noise,192,KV_minus_K_minus_V,0.04498291015625
426:query_sentence:head:547:KV,noise,196,KV_minus_K_minus_V,0.06494140625
426:query_sentence:head:594:KV,noise,0,KV_minus_K_minus_V,0.003021240234375
426:query_sentence:head:594:KV,noise,16,KV_minus_K_minus_V,0.0010986328125
426:query_sentence:head:594:KV,noise,32,KV_minus_K_minus_V,-0.003387451171875
426:query_sentence:head:594:KV,noise,48,KV_minus_K_minus_V,-0.00431060791015625
426:query_sentence:head:594:KV,noise,56,KV_minus_K_minus_V,0.0023193359375
426:query_sentence:head:594:KV,noise,64,KV_minus_K_minus_V,0.00030517578125
426:query_sentence:head:594:KV,noise,82,KV_minus_K_minus_V,0.00213623046875
426:query_sentence:head:594:KV,noise,96,KV_minus_K_minus_V,-0.0013942718505859375
426:query_sentence:head:594:KV,noise,98,KV_minus_K_minus_V,-0.00531005859375
426:query_sentence:head:594:KV,noise,102,KV_minus_K_minus_V,0.00377655029296875
426:query_sentence:head:594:KV,noise,116,KV_minus_K_minus_V,0.00384521484375
426:query_sentence:head:594:KV,noise,130,KV_minus_K_minus_V,-0.0027923583984375
426:query_sentence:head:594:KV,noise,150,KV_minus_K_minus_V,-0.0027923583984375
426:query_sentence:head:594:KV,noise,154,KV_minus_K_minus_V,0.002899169921875
426:query_sentence:head:594:KV,noise,162,KV_minus_K_minus_V,0.00390625
426:query_sentence:head:594:KV,noise,176,KV_minus_K_minus_V,-0.0028076171875
426:query_sentence:head:594:KV,noise,178,KV_minus_K_minus_V,-0.00580596923828125
426:query_sentence:head:594:KV,noise,186,KV_minus_K_minus_V,0.00518798828125
426:query_sentence:head:594:KV,noise,192,KV_minus_K_minus_V,0.00299072265625
426:query_sentence:head:594:KV,noise,196,KV_minus_K_minus_V,-0.0029296875
426:query_sentence:head:595:KV,noise,0,KV_minus_K_minus_V,-0.015411376953125
426:query_sentence:head:595:KV,noise,16,KV_minus_K_minus_V,-0.01165771484375
426:query_sentence:head:595:KV,noise,32,KV_minus_K_minus_V,-0.0030517578125
426:query_sentence:head:595:KV,noise,48,KV_minus_K_minus_V,-0.027052879333496094
426:query_sentence:head:595:KV,noise,56,KV_minus_K_minus_V,-0.0069580078125
426:query_sentence:head:595:KV,noise,64,KV_minus_K_minus_V,-0.00750732421875
